180;Ставропольский край;Невинномыск - Курджиново;727;"ИП ""Калиберда В.А.""";12.05.2009;26-121;Карачаево-Черкесская Республика;9
181;Томская обл;Яя - Ижморский -Томск;632;Межобластное ООО;21.09.2004;42-25;Кемеровская обл;42
182;Республика Башкортостан;Стерлитамак-Казань;957;Стерлитамакское ПАТП, директор Исхаков Наиль Гиниятович;19.04.2004;1;Республика Татарстан;16
183;Республика Северная Осетия-Алания;Владикавказ-Волгоград;;ООО ВПАП-4;;;Волгоградская обл;34
184;Республика Башкортостан;Бирск-Красноуральск;;ЧП Хазимарданова;;;Оренбургская обл;56
185;Тульская обл;Тула - Москва;210;ООО Горавтотранссервис-Тула;;;Москва;77
186;Тульская обл;Новомосковск-Москва;220;ООО Горавтотранссервис-Тула;;;Москва;77
187;Татарстан;Нижнекамск-Киров;782;ОАО Нижнекамское ПАТП-1;12.05.2004;5;Кировская область;43
188;Ставропольский край;Ставрополь-Анапа;582;ОАО Предприятие 1564;27.04.2004;4;Краснодарский край;23
189;Татарстан;Йошкар-Ола - Зеленодольск;549;"(Йошкар-Олинское ПАТП-1) изменено название на ГУП РМЭ ""Пассажирские перевозки"", Казанское ПАТП";27.04.2004;6;Республика Марий Эл;12
190;Красноярский край;Красноярск - Шира;562;КПАТП, Южное направление ООО;25.05.2004;24-07;Республика Хакасия;19
191;Красноярский край;Красноярск - Абакан;515;КПАТП, Южное направление ООО;25.05.2004;24-10;Республика Хакасия;19
192;Красноярский край;Красноярск - Минусинск;586;КПАТП, Южное направление ООО;25.05.2004;24-08;Республика Хакасия;19
193;Красноярский край;Красноярск - Саяногорск;581;КПАТП, Южное направление ООО;25.05.2004;24-09;Республика Хакасия;19
194;Красноярский край;Красноярск - Шушенское;589;КПАТП, Южное направление ООО;25.05.2004;24-11;Республика Хакасия;19
195;Красноярский край;Красноярск - Ермаковское;588;КПАТП, Южное направление ООО;25.05.2004;24-12;Республика Хакасия;19
196;Архангельская обл;Котлас-Великий Устюг;851;ЧП Порваткина Л.И., ЧП Лопатин А.В.;21.04.2004;3;Вологодская обл;35
197;Архангельская обл;Архангельск-Великий Устюг;811;ЧП Голенищев А.А., ЧП Шамирьян Ю.А., ЧП Гарчук А.С.;21.04.2004;2;Вологодская обл;35
198;Приморский край;Владивосток-Хабаровск;701;ООО Ространс-Приморье;25.04.2004;15;Хабаровский край;27
199;Вологодская обл;Великий Устюг- Котлас;505;Великоустюгское ПАТП;15.07.2004;35-01;Архангельскакя обл.;29
200;Республика Башкортостан;Бирск - Красноуральск;1013;ЧП Хазимарданова Д.Ж.;15.06.2004;13;Оренбургская обл;56
201;Республика Марий Эл;Йошкар-Ола - Казань;500;"(Йошкар-Олинское ПАТП-1) изменено название на ГУП РМЭ ""Пассажирские перевозки"", Казанское ПАТП";17.09.2004;12-01;Республика Татарстан;16
202;Республика Марий Эл;Йошкар-Ола - Набережные Челны;592;"(Йошкар-Олинское ПАТП-1) изменено название на ГУП РМЭ ""Пассажирские перевозки"", Пассажирский автотранспортный комбинат-Инвест ЗАО";17.09.2004;12-02;Республика Татарстан;16
203;Республика Марий Эл;Йошкар-Ола - Шаранга;716;"(Йошкар-Олинское ПАТП-1) изменено название на ГУП РМЭ ""Пассажирские перевозки"", Шарангское ПАП филиал Нижегородпассажиравтотранс";17.09.2004;12-03;Нижегородская обл;52
204;Республика Марий Эл;Йошкар-Ола - Киров;590;"(Йошкар-Олинское ПАТП-1) изменено название на ГУП РМЭ ""Пассажирские перевозки"", ГУП Автоколонна № 1217";17.09.2004;12-04;Кировская область;43
205;Республика Марий Эл;Йошкар-Ола - Яранск;501;"(Йошкар-Олинское ПАТП-1) изменено название на ГУП РМЭ ""Пассажирские перевозки"", КОГУП Яранское ПАТО";17.09.2004;12-05501;Кировская область;43
206;Республика Марий Эл;Йошкар-Ола - Мари-Ошаево;605;"(Йошкар-Олинское ПАТП-1) изменено название на ГУП РМЭ ""Пассажирские перевозки""";17.09.2004;12-07605;Кировская область;43
207;Республика Марий Эл;Йошкар-Ола - Энгенер;584;"(Йошкар-Олинское ПАТП-1) изменено название на ГУП РМЭ ""Пассажирские перевозки""";17.09.2004;12-08;Кировская область;43
208;Республика Марий Эл;Йошкар-Ола - Чебоксары;574;"(Йошкар-Олинское ПАТП-1) изменено название на ГУП РМЭ ""Пассажирские перевозки"", Чебоксарский ПАТП-3";17.09.2004;12-12;Чувашская Республика;21
209;Республика Марий Эл;Звенигово - Казань;594;ГУП РМЭ Звениговское АТП;19.07.2004;12-06;Республика Татарстан;16
210;Республика Марий Эл;Звенигово - Чебоксары;576;ГУП РМЭ Звениговское АТП;17.09.2004;12-13;Чувашская Республика;21
211;Республика Марий Эл;Йошкар-Ола - Советск;606;ГУП РМЭ Сернурское АТП;17.09.2004;12-14;Кировская область;43
212;Республика Марий Эл;Сернур - г.Советск;596;ГУП РМЭ Сернурское АТП;17.09.2004;12-15;Кировская область;43
213;Республика Марий Эл;Мари-Турек - г.Арск;582;ГУП РМЭ Сернурское АТП;21.09.2004;12-16;Республика Татарстан;16
